Codigo,Producto,Existencia,Precio venta,Precio mayoreo,Departamento,Actualizado
591,,2.0,95.0,0.0,LION TOOLS,2026-09-08 00:37:17
8860,,12.0,15.0,10.0,LION TOOLS,2026-09-08 00:37:17
1733,,0.0,40.0,0.0,LION TOOLS,2026-09-08 00:37:17
831,,1.0,20.0,16.0,ASGA,2026-09-08 00:37:17
7500938027306,7500938027306,0.0,25.0,20.0,PUEBLA,2026-09-08 00:37:17
3087,ABRAZADERA #16,18.0,10.0,0.0,LION TOOLS,2026-09-08 00:37:17
3088,ABRAZADERA #20,12.0,12.0,0.0,LION TOOLS,2026-09-08 00:37:17
3089,ABRAZADERA #24,28.0,15.0,0.0,LION TOOLS,2026-09-08 00:37:17
3090,ABRAZADERA #28,48.0,15.0,0.0,LION TOOLS,2026-09-08 00:37:17
3082,ABRAZADERA #4,0.0,7.0,0.0,LION TOOLS,2026-09-08 00:37:17
3083,ABRAZADERA #6,21.0,8.0,0.0,LION TOOLS,2026-09-08 00:37:17
3084,ABRAZADERA #8,0.0,10.0,0.0,LION TOOLS,2026-09-08 00:37:17
3081,ABRAZADERA MINI N 6,23.0,6.0,4.0,LION TOOLS,2026-09-08 00:37:17
3080,ABRAZADERA MINI NO.A,13.0,5.0,3.0,LION TOOLS,2026-09-08 00:37:17
3085,ABRAZADERA NO.10,13.0,10.0,0.0,LION TOOLS,2026-09-08 00:37:17
3086,ABRAZADERA NO.12,10.0,10.0,0.0,LION TOOLS,2026-09-08 00:37:17
2327,Abrazadera Tipo Omega 1,55.0,10.0,4.5,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
2329,ABRAZADERA TIPO OMEGA 1 1/2,29.0,15.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
2328,Abrazadera Tipo Omega 1 1/4,12.0,15.0,8.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
2325,Abrazadera Tipo Omega 1/2,44.0,6.0,3.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
2326,Abrazadera Tipo Omega 3/4,35.0,7.0,3.5,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
2331,ABRAZADERA TIPO UÑA,19.0,4.0,0.0,LION TOOLS,2026-09-08 00:37:17
2334,ABRAZADERA TIPO UÑA,10.0,7.0,0.0,LION TOOLS,2026-09-08 00:37:17
2336,ABRAZADERA TIPO UÑA,0.0,15.0,0.0,LION TOOLS,2026-09-08 00:37:17
2333,ABRAZADERA TIPO UÑA 1 PRECIOXPIEZA,0.0,8.0,0.0,LION TOOLS,2026-09-08 00:37:17
2335,ABRAZADERA TIPO UÑA 1-1/2 LA PIEZA,6.0,10.0,0.0,LION TOOLS,2026-09-08 00:37:17
2332,ABRAZADERA TIPO UÑA POR PIEZA,10.0,5.0,0.0,LION TOOLS,2026-09-08 00:37:17
2159,Abrelatas,0.0,60.0,0.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
7503026489000,Aceite 2 Tiempos Afosa,0.0,45.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
733704550211,Aceite 2 Tiempos STIHL,0.0,65.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
7501206685495,ACEITE 2T,0.0,135.0,0.0,FERREPAT,2026-09-08 00:37:17
79567520306,Aceite 3 En Uno Chico,2.0,35.0,0.0,FERREPAT,2026-09-08 00:37:17
79567520368,Aceite 3 En Uno Grande,0.0,70.0,0.0,LION TOOLS,2026-09-08 00:37:17
4914,Aceite Lubricante Multiusos,9.0,45.0,30.0,LION TOOLS,2026-09-08 00:37:17
7502309738750,Aceite Lubricante Para Barra Y Cadena De Motosierra 1L,1.0,220.0,200.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
7501206685501,ACEITE PARA MOTOR DE 2 TIEMPOS 100MLL,1.0,50.0,45.0,TRUPER,2026-09-08 00:37:17
7506240635161,ACEITE PARA MOTOR DE 2 TIEMPOS 600ML,0.0,35.0,0.0,FERREPAT,2026-09-08 00:37:17
7506240647089,ACEITE PARA MOTORES A GASOLINA 400ML,0.0,110.0,90.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
7500462326203,ACEITE ROJO 80ML FANTMOR,27.0,30.0,18.0,HUAJUAPAN,2026-09-09 18:02:44
2417,ADAPTADOR,6.0,10.0,0.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
46255,ADAPTADOR A TIERRA VOLTECK(BLANCO),0.0,20.0,15.0,hojar (Eliminado 23/07/2024),2026-09-08 00:37:17
185,Adaptador De 3 A 2,16.0,15.0,0.0,casa,2026-09-08 00:37:17
8166,ADAPTADOR HULE CHUPON,6.0,20.0,0.0,ASGA,2026-09-08 00:37:17
8167,ADAPTADOR HULE CHUPON,6.0,15.0,0.0,ASGA,2026-09-08 00:37:17
7506240645023,Adaptador Macho De Pvc 3/4,10.0,15.0,9.0,FERREPAT,2026-09-08 00:37:17
45429,Adaptador Macho De Pvc De 13mm,20.0,12.0,8.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
8168,ADAPTADORHULECHUPON,6.0,15.0,0.0,LION TOOLS,2026-09-08 00:37:17
7501600551020,ADHESIVO 5MIN,0.0,150.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
7501127002159,Aerosol Aluminio Metalico,0.0,80.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
7506069046063,Aerosol Cafe,0.0,80.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
7506069047275,Aerosol Morado,1.0,80.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
7501127003637,Aerosol Negro Brillante,0.0,80.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
7506240630616,Aerosol Rojo,0.0,90.0,80.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
7501127003675,Aerosol Rojo,0.0,80.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
7506069046018,Aerosol Transparente Cristal,0.0,70.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
7506274200373,Aerosol Verde Bosque,0.0,80.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
7501127002074,Aerosol Verde Hoja Brillante,0.0,80.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
8342,AFILADOR DE CUCHILLO,0.0,220.0,0.0,LION TOOLS,2026-09-08 00:37:17
8340,AFILADOR DE CUCHILLOS Y NAVAJA,0.0,80.0,0.0,LION TOOLS,2026-09-08 00:37:17
313,AHUJA,30.0,13.0,8.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
314,AHUJA,30.0,14.0,9.0,PUEBLA,2026-09-08 00:37:17
315,AHUJA,30.0,15.0,10.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
316,AHUJA,30.0,15.0,10.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
317,AHUJA CAPOTERA,180.0,10.0,0.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
318,AHUJA PARA COSER,21.0,4.0,0.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
4000,AIRE REMOVEDOR DE POLVO,0.0,85.0,0.0,LION TOOLS,2026-09-08 00:37:17
255,ALAMBRE GUIA ACERADA 10 MTS,1.0,45.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
254,ALAMBRE GUIA ACERADA 20MTS,0.0,55.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
253,ALAMBRE GUIA PARA ELECTRICISTA 15MTS,2.0,45.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
241,ALCAYATA DE VARILLA CHICO,3.0,80.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
240,ALCAYATA DE VARILLA GRANDE,1.0,120.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
17501228829621,ALFILER DE SEGURIDAD,124.0,1.0,0.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
17501228806462,ALFILER DE SEGURIDAD DORADO,288.0,1.0,0.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
17501228847243,ALFILER DE SEGURIDAD NIQUELADO,86.0,1.5,0.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
6906546921028,ALICATA,9.0,45.0,30.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
810026280054,ALKALINE BATTERY,0.0,20.0,0.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
6927799689190,ALKALINE BATTERY 23A,6.0,25.0,0.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
6927799689206,ALKALINE BATTERY 27A,5.0,25.0,0.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
4891199011504,ALKALINE BATTERY 27A,5.0,25.0,0.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
6927799681149,ALKALINE BATTERY AG0,44.0,20.0,0.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
6927799681019,ALKALINE BATTERY AG1,16.0,20.0,0.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
6927799681118,ALKALINE BATTERY AG11,6.0,20.0,0.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
6927799681026,ALKALINE BATTERY AG2,54.0,20.0,0.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
6927799681033,ALKALINE BATTERY AG3,39.0,20.0,0.0,hogar (Eliminado 23/07/2024),2026-09-14 23:35:25
6927799681040,ALKALINE BATTERY AG4,59.0,20.0,0.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
6927799681057,ALKALINE BATTERY AG5,6.0,20.0,0.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
6927799681064,ALKALINE BATTERY AG6,29.0,30.0,20.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
6927799681071,ALKALINE BATTERY AG7,16.0,30.0,20.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
6927799681088,ALKALINE BATTERY AG8,46.0,30.0,20.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
6927799681095,ALKALINE BATTERY AG9,6.0,20.0,0.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
810026280795,ALKALINE BATTERY CR1632,4.0,30.0,0.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
6927799682313,ALKALINE BATTERY CR1632 TIANQIU,8.0,30.0,0.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
6927799682160,ALKALINE BATTERY CR2032,0.0,35.0,0.0,MEXICO,2026-09-08 00:37:17
810026280030,ALKALINE BATTERY LR1120,3.0,20.0,0.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
